character,degree_Marvel_characters
2-D,140
3-D_MAN,316
3-D_MAN_II,358
FOUR-D_MAN,170
EIGHT-BALL,304
EIGHTY-EIGHT,24
A,26
A_YIN,48
A-BLAND_ARTHUR,18
A-DALE_ALLAN,32
AAMSHED,28
AARDWOLF,42
ABADON,46
ABARAC,4
ABBOTT_JACK,18
ABBOTT_MR,14
ABBOTT_MRS,14
ABEL,24
ABERDEEN_ANGUS,104
ABERNATHY_AMBROSE_A,12
ABERNATHY_ANN,12
ABERRATION,74
ABIRA,56
ABLE-BODIES ASSASSIN,42
ABLETON_DR_DAVID,28
ABOMINABLE_SNOWMAN,70
ABOMINATION,1032
ABOMINATRIX,32
ABRAMS_DR_JACK,50
ABRAMS_GEN_CREIGHTON,36
ABRAMS_MICHAEL,28
ABRAXAS,42
ABSALOM,106
ABSORBING_MAN,1692
ABSORBING_MAN_ALTERNATE,24
ABSYNTHE,14
ABU_DAKIR,56
ABYSS,124
ABYSS_II,24
ABYSSS,24
AC,144
ACBA,62
ACCESS,138
ACCURSED_ALBINO,28
ACE,20
ACE_II,92
ACHEBE_REV_DR_MICHAEL_IBN_AL-HAJJ,96
ACHELOUS,152
ACHERON_GABE,28
ACHERON_STEWART,28
ACHILLES,68
ACHILLES_II,24
ACHILLES_III,294
ACKERDSON_HENRY,282
ACROBAT,12
ACROBAT_II,20
ACROYEAR,292
ACTOR,6
ADAIR_VAL,26
ADAMX,320
ADAM-II,68
ADAM-III,24
ADAMANTIME,18
ADAMS_CINDY,100
ADAMS_EDDIE,28
ADAMS_GEORGE,16
ADAMS_HENRY,24
ADAMS_JOHN,20
ADAMS_JOY,10
ADAMS_MARTHA,16
ADAMS_MURDOCH,30
ADAMS_NEAL,50
ADAMS_NICOLE,158
ADAMS_SAM,24
ADAMSON_JASON,14
ADAMSON_MAJ_DAVID,38
ADAMSON_REBECCA,14
ADAPTOID,74
ADJUDICATOR,70
ADMINISTRATOR,48
ADMIRAL_PROTOCOL,112
ADOBE_FATHER_VINCE,38
ADONIS,22
ADONIS_II,14
ADORA,232
ADRENAZON,48
ADRIA,76
